layer,depth_m,permeability_md,porosity,avg_So
1,0.5,166.66666666666666,0.2,0.4069417215486311
2,1.5,236.84210526315786,0.2,0.36607749639692083
3,2.5,307.0175438596491,0.2,0.3369673950058952
4,3.5,377.1929824561403,0.2,0.3152042548165573
5,4.5,447.36842105263156,0.2,0.29862121448746737
6,5.5,517.5438596491227,0.2,0.2858567094172674
7,6.5,587.719298245614,0.2,0.2758945834951917
8,7.5,657.8947368421052,0.2,0.2679664593113139
9,8.5,728.0701754385964,0.2,0.2615231166181085
10,9.5,798.2456140350876,0.2,0.25618646533352574
11,10.5,798.2456140350877,0.2,0.2561863899054402
12,11.5,728.0701754385964,0.2,0.2615229202261679
13,12.5,657.8947368421053,0.2,0.26796612252094304
14,13.5,587.719298245614,0.2,0.27589407715033426
15,14.5,517.5438596491229,0.2,0.2858559931117715
16,15.5,447.36842105263156,0.2,0.2986202273287902
17,16.5,377.1929824561404,0.2,0.31520290778135973
18,17.5,307.0175438596491,0.2,0.33696557435732494
19,18.5,236.84210526315795,0.2,0.3660750521498653
20,19.5,166.66666666666666,0.2,0.4069382460186587
