layer,depth_m,permeability_md,porosity,avg_So
1,0.5,500.0,0.2,0.2856684699571818
2,1.5,500.0,0.2,0.2856684137737197
3,2.5,500.0,0.2,0.2856683546193852
4,3.5,500.0,0.2,0.28566829396571675
5,4.5,500.0,0.2,0.28566823093417515
6,5.5,500.0,0.2,0.2856681634733424
7,6.5,500.0,0.2,0.28566810277514665
8,7.5,500.0,0.2,0.2856680506356721
9,8.5,500.0,0.2,0.2856679928443997
10,9.5,500.0,0.2,0.2856679218698385
11,10.5,500.0,0.2,0.28566785878494516
12,11.5,500.0,0.2,0.2856678080483973
13,12.5,500.0,0.2,0.2856677487054261
14,13.5,500.0,0.2,0.2856676834957172
15,14.5,500.0,0.2,0.2856676142351126
16,15.5,500.0,0.2,0.2856675419717347
17,16.5,500.0,0.2,0.2856674733938227
18,17.5,500.0,0.2,0.28566741960121755
19,18.5,500.0,0.2,0.2856673653051708
20,19.5,500.0,0.2,0.2856672831178506
