layer,depth_m,permeability_md,porosity,avg_So
1,0.5,333.3333333333333,0.2,0.31968975812640815
2,1.5,350.8771929824561,0.2,0.3152728191569953
3,2.5,368.4210526315789,0.2,0.3111216086772191
4,3.5,385.96491228070175,0.2,0.30721712812662366
5,4.5,403.50877192982455,0.2,0.30354142354630353
6,5.5,421.05263157894734,0.2,0.30007792938104155
7,6.5,438.59649122807014,0.2,0.2968115858013112
8,7.5,456.14035087719293,0.2,0.2937287960103319
9,8.5,473.6842105263157,0.2,0.2908161685365443
10,9.5,491.2280701754386,0.2,0.2880619240977268
11,10.5,508.77192982456137,0.2,0.28545489420554326
12,11.5,526.3157894736842,0.2,0.28298528781066135
13,12.5,543.859649122807,0.2,0.28064316280148266
14,13.5,561.4035087719299,0.2,0.2784199553693458
15,14.5,578.9473684210526,0.2,0.2763078027469968
16,15.5,596.4912280701753,0.2,0.27429963204464
17,16.5,614.0350877192982,0.2,0.27238799630728316
18,17.5,631.578947368421,0.2,0.2705674145671516
19,18.5,649.1228070175438,0.2,0.26883183310828623
20,19.5,666.6666666666666,0.2,0.267176356859543
