layer,depth_m,permeability_md,porosity,avg_So
1,0.5,909.090909090909,0.2,0.25195552495037454
2,1.5,866.0287081339712,0.2,0.2544438315975503
3,2.5,822.9665071770335,0.2,0.2571746810634579
4,3.5,779.9043062200956,0.2,0.2601844778268292
5,4.5,736.8421052631578,0.2,0.26351594348105234
6,5.5,693.77990430622,0.2,0.2672224710263126
7,6.5,650.7177033492823,0.2,0.2713690174765667
8,7.5,607.6555023923445,0.2,0.2760368212973669
9,8.5,564.5933014354066,0.2,0.2813276727137299
10,9.5,521.5311004784689,0.2,0.28737248537848553
11,10.5,478.46889952153106,0.2,0.29434069534947815
12,11.5,435.4066985645932,0.2,0.30245881482591097
13,12.5,392.3444976076555,0.2,0.3120347517354716
14,13.5,349.2822966507176,0.2,0.323503792397611
15,14.5,306.22009569377985,0.2,0.33750628685677286
16,15.5,263.1578947368421,0.2,0.35513775181061824
17,16.5,220.0956937799043,0.2,0.3784712819290305
18,17.5,177.03349282296642,0.2,0.41213724635127874
19,18.5,133.97129186602876,0.2,0.4968697920723281
20,19.5,90.90909090909088,0.2,0.6109381313055082
