case,rhythm,contrast,pore_volume_m3,breakthrough_pv,RF_BT,RF_80,RF_90,RF_98,terminal_pv,terminal_RF
H-1,homogeneous,1.0,40000.00000000001,0.36099999999999993,0.5290625231886541,0.6260194149034898,0.6878349784589921,missing,2.0009999999999994,0.7646984406026323
P-2,positive,2.0,40000.00000000001,0.30099999999999993,0.4405967154315048,0.6256658477209284,0.684141615630067,missing,2.0009999999999994,0.7595287691904754
P-5,positive,5.0,40000.00000000001,0.24099999999999996,0.352964323388557,0.584737335330715,0.6634974307011944,missing,2.0009999999999994,0.7357757175386349
P-10,positive,10.0,40000.00000000001,0.22099999999999995,0.32356535235763184,0.5481525358837803,0.6318235077278193,missing,2.0009999999999994,0.7071416854097222
R-2,reverse,2.0,40000.00000000001,0.30099999999999993,0.4405970600117417,0.6256673689422723,0.6841424376266037,missing,2.0009999999999994,0.7595290642814466
R-5,reverse,5.0,40000.00000000001,0.24099999999999996,0.3529645017584262,0.5847393601746675,0.6634995179854101,missing,2.0009999999999994,0.7357769799269146
R-10,reverse,10.0,40000.00000000001,0.22099999999999995,0.3235793205422399,0.5480757370107019,0.6317551058832391,missing,2.0009999999999994,0.7071071492275651
C-2,compound,2.0,40000.00000000001,0.30099999999999993,0.4409705715566429,0.6272568467847196,0.6849800940062383,missing,2.0009999999999994,0.7593503189793583
C-5,compound,5.0,40000.00000000001,0.24099999999999996,0.3530009081016976,0.5802995934958882,0.6600806054597897,missing,2.0009999999999994,0.7329780291841359
C-10,compound,10.0,40000.00000000001,0.22099999999999995,0.3234444552911346,0.5389211791776474,0.6223932273772291,missing,2.0009999999999994,0.6989440469111734
