i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.43849226703403366,0.5615077329659663,90.9090909090909
2,1,1,15.0,5.0,0.5,0.3954821697498981,0.604517830250102,90.9090909090909
3,1,1,25.0,5.0,0.5,0.3398539306530017,0.6601460693469983,90.9090909090909
4,1,1,35.0,5.0,0.5,0.2875927018480571,0.7124072981519429,90.9090909090909
5,1,1,45.0,5.0,0.5,0.24843098064711291,0.7515690193528871,90.9090909090909
6,1,1,55.0,5.0,0.5,0.22427302750860922,0.7757269724913908,90.9090909090909
7,1,1,65.0,5.0,0.5,0.21181172864158448,0.7881882713584155,90.9090909090909
8,1,1,75.0,5.0,0.5,0.20548987135586216,0.7945101286441378,90.9090909090909
9,1,1,85.0,5.0,0.5,0.20229424321174616,0.7977057567882538,90.9090909090909
10,1,1,95.0,5.0,0.5,0.20084958952017606,0.7991504104798239,90.9090909090909
11,1,1,105.0,5.0,0.5,0.20030464268510917,0.7996953573148908,90.9090909090909
12,1,1,115.0,5.0,0.5,0.20012871515969685,0.7998712848403031,90.9090909090909
13,1,1,125.0,5.0,0.5,0.20006865835844326,0.7999313416415568,90.9090909090909
14,1,1,135.0,5.0,0.5,0.20004327138114245,0.7999567286188576,90.9090909090909
15,1,1,145.0,5.0,0.5,0.20003148308286323,0.7999685169171368,90.9090909090909
16,1,1,155.0,5.0,0.5,0.2000264560225946,0.7999735439774054,90.9090909090909
17,1,1,165.0,5.0,0.5,0.20002469670664372,0.7999753032933563,90.9090909090909
18,1,1,175.0,5.0,0.5,0.20002432643427606,0.799975673565724,90.9090909090909
19,1,1,185.0,5.0,0.5,0.20002440025485152,0.7999755997451485,90.9090909090909
20,1,1,195.0,5.0,0.5,0.200024615666021,0.799975384333979,90.9090909090909
21,1,1,205.0,5.0,0.5,0.20002489474899293,0.7999751052510071,90.9090909090909
22,1,1,215.0,5.0,0.5,0.2000252009622026,0.7999747990377974,90.9090909090909
23,1,1,225.0,5.0,0.5,0.2000255199957888,0.7999744800042112,90.9090909090909
24,1,1,235.0,5.0,0.5,0.2000258470738766,0.7999741529261234,90.9090909090909
25,1,1,245.0,5.0,0.5,0.20002618049901724,0.7999738195009828,90.9090909090909
26,1,1,255.0,5.0,0.5,0.20002651943453884,0.7999734805654611,90.9090909090909
27,1,1,265.0,5.0,0.5,0.20002686335769673,0.7999731366423033,90.9090909090909
28,1,1,275.0,5.0,0.5,0.20002721190010303,0.799972788099897,90.9090909090909
29,1,1,285.0,5.0,0.5,0.20002756482598677,0.7999724351740132,90.9090909090909
30,1,1,295.0,5.0,0.5,0.2000279219789087,0.7999720780210913,90.9090909090909
31,1,1,305.0,5.0,0.5,0.20002828323125454,0.7999717167687455,90.9090909090909
32,1,1,315.0,5.0,0.5,0.2000286484695155,0.7999713515304845,90.9090909090909
33,1,1,325.0,5.0,0.5,0.20002901759022543,0.7999709824097746,90.9090909090909
34,1,1,335.0,5.0,0.5,0.2000293905554243,0.7999706094445758,90.9090909090909
35,1,1,345.0,5.0,0.5,0.20002976740047088,0.7999702325995292,90.9090909090909
36,1,1,355.0,5.0,0.5,0.20003014821187476,0.7999698517881253,90.9090909090909
37,1,1,365.0,5.0,0.5,0.20003053309185193,0.7999694669081481,90.9090909090909
38,1,1,375.0,5.0,0.5,0.20003092212113982,0.7999690778788602,90.9090909090909
39,1,1,385.0,5.0,0.5,0.20003131535704613,0.7999686846429539,90.9090909090909
40,1,1,395.0,5.0,0.5,0.20003171284024382,0.7999682871597562,90.9090909090909
41,1,1,405.0,5.0,0.5,0.20003211456275596,0.7999678854372441,90.9090909090909
42,1,1,415.0,5.0,0.5,0.20003252039374536,0.7999674796062546,90.9090909090909
43,1,1,425.0,5.0,0.5,0.20003292987170332,0.7999670701282967,90.9090909090909
44,1,1,435.0,5.0,0.5,0.20003334183837873,0.7999666581616213,90.9090909090909
45,1,1,445.0,5.0,0.5,0.20003375377676502,0.799966246223235,90.9090909090909
46,1,1,455.0,5.0,0.5,0.2000341605455182,0.7999658394544817,90.9090909090909
47,1,1,465.0,5.0,0.5,0.20003455218471455,0.7999654478152854,90.9090909090909
48,1,1,475.0,5.0,0.5,0.20003491027015416,0.7999650897298458,90.9090909090909
49,1,1,485.0,5.0,0.5,0.20003520290307877,0.7999647970969213,90.9090909090909
50,1,1,495.0,5.0,0.5,0.20003538151502695,0.799964618484973,90.9090909090909
1,2,1,5.0,15.0,0.5,0.5882983079252038,0.41170169207479623,90.9090909090909
2,2,1,15.0,15.0,0.5,0.5540651660329731,0.44593483396702693,90.9090909090909
3,2,1,25.0,15.0,0.5,0.5122809936644982,0.4877190063355018,90.9090909090909
4,2,1,35.0,15.0,0.5,0.46220136626036146,0.5377986337396385,90.9090909090909
5,2,1,45.0,15.0,0.5,0.40073105566613976,0.5992689443338602,90.9090909090909
6,2,1,55.0,15.0,0.5,0.333326791709452,0.666673208290548,90.9090909090909
7,2,1,65.0,15.0,0.5,0.2819246043243645,0.7180753956756355,90.9090909090909
8,2,1,75.0,15.0,0.5,0.24891910249432125,0.7510808975056787,90.9090909090909
9,2,1,85.0,15.0,0.5,0.22937708398093878,0.7706229160190612,90.9090909090909
10,2,1,95.0,15.0,0.5,0.21752545526467643,0.7824745447353236,90.9090909090909
11,2,1,105.0,15.0,0.5,0.20996416789282973,0.7900358321071703,90.9090909090909
12,2,1,115.0,15.0,0.5,0.2051824643204194,0.7948175356795806,90.9090909090909
13,2,1,125.0,15.0,0.5,0.2024151031536907,0.7975848968463093,90.9090909090909
14,2,1,135.0,15.0,0.5,0.20103583442887235,0.7989641655711277,90.9090909090909
15,2,1,145.0,15.0,0.5,0.20045213835719133,0.7995478616428087,90.9090909090909
16,2,1,155.0,15.0,0.5,0.2002238713882595,0.7997761286117405,90.9090909090909
17,2,1,165.0,15.0,0.5,0.20012552141994366,0.7998744785800563,90.9090909090909
18,2,1,175.0,15.0,0.5,0.20007562496803197,0.799924375031968,90.9090909090909
19,2,1,185.0,15.0,0.5,0.20004890757849408,0.7999510924215059,90.9090909090909
20,2,1,195.0,15.0,0.5,0.2000353371472669,0.799964662852733,90.9090909090909
21,2,1,205.0,15.0,0.5,0.20002913747270828,0.7999708625272917,90.9090909090909
22,2,1,215.0,15.0,0.5,0.20002675499551192,0.7999732450044881,90.9090909090909
23,2,1,225.0,15.0,0.5,0.20002608223837487,0.7999739177616252,90.9090909090909
24,2,1,235.0,15.0,0.5,0.20002609939981417,0.7999739006001858,90.9090909090909
25,2,1,245.0,15.0,0.5,0.20002629517223622,0.7999737048277638,90.9090909090909
26,2,1,255.0,15.0,0.5,0.20002657528585752,0.7999734247141425,90.9090909090909
27,2,1,265.0,15.0,0.5,0.20002689301598464,0.7999731069840154,90.9090909090909
28,2,1,275.0,15.0,0.5,0.20002722834905784,0.7999727716509422,90.9090909090909
29,2,1,285.0,15.0,0.5,0.2000275737498795,0.7999724262501204,90.9090909090909
30,2,1,295.0,15.0,0.5,0.200027926431882,0.799972073568118,90.9090909090909
31,2,1,305.0,15.0,0.5,0.20002828503870543,0.7999717149612946,90.9090909090909
32,2,1,315.0,15.0,0.5,0.20002864876608037,0.7999713512339196,90.9090909090909
33,2,1,325.0,15.0,0.5,0.2000290170600581,0.799970982939942,90.9090909090909
34,2,1,335.0,15.0,0.5,0.20002938959668548,0.7999706104033145,90.9090909090909
35,2,1,345.0,15.0,0.5,0.20002976624194752,0.7999702337580525,90.9090909090909
36,2,1,355.0,15.0,0.5,0.20003014697794885,0.7999698530220511,90.9090909090909
37,2,1,365.0,15.0,0.5,0.20003053184588374,0.7999694681541163,90.9090909090909
38,2,1,375.0,15.0,0.5,0.20003092089226357,0.7999690791077364,90.9090909090909
39,2,1,385.0,15.0,0.5,0.20003131415863007,0.7999686858413699,90.9090909090909
40,2,1,395.0,15.0,0.5,0.20003171169630313,0.7999682883036969,90.9090909090909
41,2,1,405.0,15.0,0.5,0.20003211356834033,0.7999678864316597,90.9090909090909
42,2,1,415.0,15.0,0.5,0.2000325198138762,0.7999674801861238,90.9090909090909
43,2,1,425.0,15.0,0.5,0.2000329303224019,0.7999670696775981,90.9090909090909
44,2,1,435.0,15.0,0.5,0.20003334460550146,0.7999666553944985,90.9090909090909
45,2,1,445.0,15.0,0.5,0.20003376138283227,0.7999662386171678,90.9090909090909
46,2,1,455.0,15.0,0.5,0.20003417760943795,0.799965822390562,90.9090909090909
47,2,1,465.0,15.0,0.5,0.20003458643082825,0.7999654135691717,90.9090909090909
48,2,1,475.0,15.0,0.5,0.20003497286910119,0.7999650271308988,90.9090909090909
49,2,1,485.0,15.0,0.5,0.20003530559259328,0.7999646944074067,90.9090909090909
50,2,1,495.0,15.0,0.5,0.2000355248601023,0.7999644751398978,90.9090909090909
1,3,1,5.0,25.0,0.5,0.6698788725004506,0.33012112749954936,90.9090909090909
2,3,1,15.0,25.0,0.5,0.6337692794408788,0.3662307205591212,90.9090909090909
3,3,1,25.0,25.0,0.5,0.5931487790263267,0.4068512209736733,90.9090909090909
4,3,1,35.0,25.0,0.5,0.5497565314662669,0.4502434685337331,90.9090909090909
5,3,1,45.0,25.0,0.5,0.5025067699969528,0.49749323000304724,90.9090909090909
