i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.4754525118397108,0.5245474881602892,333.3333333333333
2,1,1,15.0,5.0,0.5,0.4498152297531207,0.5501847702468793,333.3333333333333
3,1,1,25.0,5.0,0.5,0.4170706491235036,0.5829293508764963,333.3333333333333
4,1,1,35.0,5.0,0.5,0.37603105056271835,0.6239689494372817,333.3333333333333
5,1,1,45.0,5.0,0.5,0.3249758244972565,0.6750241755027435,333.3333333333333
6,1,1,55.0,5.0,0.5,0.26717359370800986,0.7328264062919901,333.3333333333333
7,1,1,65.0,5.0,0.5,0.22235095510222644,0.7776490448977735,333.3333333333333
8,1,1,75.0,5.0,0.5,0.20449806199594633,0.7955019380040537,333.3333333333333
9,1,1,85.0,5.0,0.5,0.20047314102598407,0.7995268589740159,333.3333333333333
10,1,1,95.0,5.0,0.5,0.20002847303490542,0.7999715269650945,333.3333333333333
11,1,1,105.0,5.0,0.5,0.20001681949731856,0.7999831805026815,333.3333333333333
12,1,1,115.0,5.0,0.5,0.20001710810700304,0.799982891892997,333.3333333333333
13,1,1,125.0,5.0,0.5,0.200017580130992,0.799982419869008,333.3333333333333
14,1,1,135.0,5.0,0.5,0.20001806713483813,0.7999819328651618,333.3333333333333
15,1,1,145.0,5.0,0.5,0.20001856515790667,0.7999814348420933,333.3333333333333
16,1,1,155.0,5.0,0.5,0.20001907134160576,0.7999809286583942,333.3333333333333
17,1,1,165.0,5.0,0.5,0.20001958213420284,0.7999804178657972,333.3333333333333
18,1,1,175.0,5.0,0.5,0.2000200935391015,0.7999799064608986,333.3333333333333
19,1,1,185.0,5.0,0.5,0.2000206019424617,0.7999793980575383,333.3333333333333
20,1,1,195.0,5.0,0.5,0.20002110485974803,0.799978895140252,333.3333333333333
21,1,1,205.0,5.0,0.5,0.2000216010783344,0.7999783989216656,333.3333333333333
22,1,1,215.0,5.0,0.5,0.20002209087028622,0.7999779091297138,333.3333333333333
23,1,1,225.0,5.0,0.5,0.2000225755627462,0.7999774244372538,333.3333333333333
24,1,1,235.0,5.0,0.5,0.2000230567747355,0.7999769432252645,333.3333333333333
25,1,1,245.0,5.0,0.5,0.20002353586827418,0.7999764641317259,333.3333333333333
26,1,1,255.0,5.0,0.5,0.2000240137791478,0.7999759862208522,333.3333333333333
27,1,1,265.0,5.0,0.5,0.20002449107662712,0.7999755089233729,333.3333333333333
28,1,1,275.0,5.0,0.5,0.20002496808297604,0.799975031917024,333.3333333333333
29,1,1,285.0,5.0,0.5,0.2000254449751443,0.7999745550248557,333.3333333333333
30,1,1,295.0,5.0,0.5,0.20002592185156592,0.7999740781484341,333.3333333333333
31,1,1,305.0,5.0,0.5,0.20002639877236814,0.7999736012276318,333.3333333333333
32,1,1,315.0,5.0,0.5,0.2000268757818909,0.7999731242181091,333.3333333333333
33,1,1,325.0,5.0,0.5,0.20002735292183743,0.7999726470781625,333.3333333333333
34,1,1,335.0,5.0,0.5,0.20002783023935747,0.7999721697606426,333.3333333333333
35,1,1,345.0,5.0,0.5,0.2000283077927458,0.7999716922072542,333.3333333333333
36,1,1,355.0,5.0,0.5,0.20002878565575977,0.7999712143442402,333.3333333333333
37,1,1,365.0,5.0,0.5,0.2000292639205839,0.7999707360794162,333.3333333333333
38,1,1,375.0,5.0,0.5,0.20002974269801488,0.7999702573019851,333.3333333333333
39,1,1,385.0,5.0,0.5,0.20003022211149307,0.7999697778885069,333.3333333333333
40,1,1,395.0,5.0,0.5,0.2000307022777313,0.7999692977222688,333.3333333333333
