i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.65655102335843,0.34344897664157004,333.3333333333333
2,1,1,15.0,5.0,0.5,0.6462804381820907,0.3537195618179093,333.3333333333333
3,1,1,25.0,5.0,0.5,0.6343906844231185,0.3656093155768815,333.3333333333333
4,1,1,35.0,5.0,0.5,0.6220298254942194,0.37797017450578063,333.3333333333333
5,1,1,45.0,5.0,0.5,0.6097755925833123,0.39022440741668774,333.3333333333333
6,1,1,55.0,5.0,0.5,0.5978833585287753,0.4021166414712247,333.3333333333333
7,1,1,65.0,5.0,0.5,0.5864364449196642,0.4135635550803358,333.3333333333333
8,1,1,75.0,5.0,0.5,0.5754296799100536,0.42457032008994644,333.3333333333333
9,1,1,85.0,5.0,0.5,0.564812276464851,0.435187723535149,333.3333333333333
10,1,1,95.0,5.0,0.5,0.5545103697740098,0.4454896302259902,333.3333333333333
11,1,1,105.0,5.0,0.5,0.5444371135590248,0.4555628864409752,333.3333333333333
12,1,1,115.0,5.0,0.5,0.534494583265535,0.465505416734465,333.3333333333333
13,1,1,125.0,5.0,0.5,0.5245754102735712,0.47542458972642876,333.3333333333333
14,1,1,135.0,5.0,0.5,0.5145601456796194,0.4854398543203806,333.3333333333333
15,1,1,145.0,5.0,0.5,0.5042890200530936,0.4957109799469064,333.3333333333333
16,1,1,155.0,5.0,0.5,0.4935533724698348,0.5064466275301652,333.3333333333333
17,1,1,165.0,5.0,0.5,0.4820702342630294,0.5179297657369706,333.3333333333333
18,1,1,175.0,5.0,0.5,0.46944373127154243,0.5305562687284575,333.3333333333333
19,1,1,185.0,5.0,0.5,0.455106470543379,0.5448935294566211,333.3333333333333
20,1,1,195.0,5.0,0.5,0.4382489011222573,0.5617510988777428,333.3333333333333
21,1,1,205.0,5.0,0.5,0.41778255539307035,0.5822174446069297,333.3333333333333
22,1,1,215.0,5.0,0.5,0.39250766515037716,0.6074923348496228,333.3333333333333
23,1,1,225.0,5.0,0.5,0.36175349786009986,0.6382465021399002,333.3333333333333
24,1,1,235.0,5.0,0.5,0.32766515739247004,0.67233484260753,333.3333333333333
25,1,1,245.0,5.0,0.5,0.29341281427706184,0.7065871857229382,333.3333333333333
26,1,1,255.0,5.0,0.5,0.2620725711635169,0.7379274288364831,333.3333333333333
27,1,1,265.0,5.0,0.5,0.2367984731962971,0.7632015268037029,333.3333333333333
28,1,1,275.0,5.0,0.5,0.21916391492096896,0.780836085079031,333.3333333333333
29,1,1,285.0,5.0,0.5,0.20858728547311037,0.7914127145268897,333.3333333333333
30,1,1,295.0,5.0,0.5,0.20321601757279315,0.7967839824272068,333.3333333333333
31,1,1,305.0,5.0,0.5,0.2009908735427227,0.7990091264572773,333.3333333333333
32,1,1,315.0,5.0,0.5,0.20027372334738117,0.7997262766526189,333.3333333333333
33,1,1,325.0,5.0,0.5,0.20009562496849342,0.7999043750315066,333.3333333333333
34,1,1,335.0,5.0,0.5,0.20004999311014732,0.7999500068898526,333.3333333333333
35,1,1,345.0,5.0,0.5,0.20003479950979539,0.7999652004902046,333.3333333333333
36,1,1,355.0,5.0,0.5,0.20003041909506178,0.7999695809049382,333.3333333333333
37,1,1,365.0,5.0,0.5,0.20002977786862033,0.7999702221313797,333.3333333333333
38,1,1,375.0,5.0,0.5,0.2000299346273751,0.7999700653726249,333.3333333333333
39,1,1,385.0,5.0,0.5,0.2000303024480762,0.7999696975519238,333.3333333333333
40,1,1,395.0,5.0,0.5,0.20003071776288303,0.7999692822371169,333.3333333333333
41,1,1,405.0,5.0,0.5,0.200031144587624,0.7999688554123761,333.3333333333333
42,1,1,415.0,5.0,0.5,0.2000315788453484,0.7999684211546516,333.3333333333333
43,1,1,425.0,5.0,0.5,0.20003201958890018,0.7999679804110998,333.3333333333333
44,1,1,435.0,5.0,0.5,0.20003246548220519,0.7999675345177948,333.3333333333333
45,1,1,445.0,5.0,0.5,0.20003291442527238,0.7999670855747276,333.3333333333333
46,1,1,455.0,5.0,0.5,0.20003336222868887,0.7999666377713112,333.3333333333333
47,1,1,465.0,5.0,0.5,0.20003380161635456,0.7999661983836455,333.3333333333333
48,1,1,475.0,5.0,0.5,0.20003421885277387,0.7999657811472262,333.3333333333333
49,1,1,485.0,5.0,0.5,0.2000345843829425,0.7999654156170575,333.3333333333333
50,1,1,495.0,5.0,0.5,0.20003483797698915,0.7999651620230108,333.3333333333333
1,2,1,5.0,15.0,0.5,0.7169375197777551,0.2830624802222449,333.3333333333333
2,2,1,15.0,15.0,0.5,0.7041566349893444,0.29584336501065556,333.3333333333333
3,2,1,25.0,15.0,0.5,0.6897745503593324,0.31022544964066756,333.3333333333333
4,2,1,35.0,15.0,0.5,0.6752155882779243,0.3247844117220757,333.3333333333333
5,2,1,45.0,15.0,0.5,0.6611643337825932,0.3388356662174068,333.3333333333333
6,2,1,55.0,15.0,0.5,0.6478866673704644,0.3521133326295356,333.3333333333333
7,2,1,65.0,15.0,0.5,0.6354321071006906,0.36456789289930935,333.3333333333333
8,2,1,75.0,15.0,0.5,0.6237593572222163,0.3762406427777837,333.3333333333333
9,2,1,85.0,15.0,0.5,0.6127811621123384,0.38721883788766165,333.3333333333333
10,2,1,95.0,15.0,0.5,0.6024075471596086,0.39759245284039135,333.3333333333333
11,2,1,105.0,15.0,0.5,0.5925482632127532,0.4074517367872468,333.3333333333333
12,2,1,115.0,15.0,0.5,0.5831197639554676,0.4168802360445324,333.3333333333333
13,2,1,125.0,15.0,0.5,0.5740371495685089,0.42596285043149107,333.3333333333333
14,2,1,135.0,15.0,0.5,0.5652177934949747,0.4347822065050253,333.3333333333333
15,2,1,145.0,15.0,0.5,0.5565965656210494,0.4434034343789506,333.3333333333333
16,2,1,155.0,15.0,0.5,0.5481090189650273,0.4518909810349727,333.3333333333333
17,2,1,165.0,15.0,0.5,0.5396932038520539,0.4603067961479461,333.3333333333333
18,2,1,175.0,15.0,0.5,0.5312862946052597,0.46871370539474033,333.3333333333333
19,2,1,185.0,15.0,0.5,0.5228179922890914,0.4771820077109086,333.3333333333333
20,2,1,195.0,15.0,0.5,0.5141975618504632,0.48580243814953683,333.3333333333333
21,2,1,205.0,15.0,0.5,0.5052760191691482,0.4947239808308518,333.3333333333333
22,2,1,215.0,15.0,0.5,0.49578849148577137,0.5042115085142287,333.3333333333333
23,2,1,225.0,15.0,0.5,0.48545495449802795,0.514545045501972,333.3333333333333
24,2,1,235.0,15.0,0.5,0.4738792942438919,0.5261207057561081,333.3333333333333
25,2,1,245.0,15.0,0.5,0.46047257785599377,0.5395274221440063,333.3333333333333
26,2,1,255.0,15.0,0.5,0.4443784638728564,0.5556215361271436,333.3333333333333
27,2,1,265.0,15.0,0.5,0.42439836629516264,0.5756016337048373,333.3333333333333
28,2,1,275.0,15.0,0.5,0.399055857624121,0.600944142375879,333.3333333333333
29,2,1,285.0,15.0,0.5,0.36737906809430704,0.632620931905693,333.3333333333333
30,2,1,295.0,15.0,0.5,0.33146777809155165,0.6685322219084484,333.3333333333333
31,2,1,305.0,15.0,0.5,0.2953678937790934,0.7046321062209067,333.3333333333333
32,2,1,315.0,15.0,0.5,0.2633759835610608,0.7366240164389393,333.3333333333333
