layer,depth_m,permeability_md,porosity,avg_So
1,0.5,166.66666666666666,0.2,0.7079260407161722
2,1.5,236.84210526315786,0.2,0.6486357866534086
3,2.5,307.0175438596491,0.2,0.5752260690935916
4,3.5,377.1929824561403,0.2,0.4991942717868878
5,4.5,447.36842105263156,0.2,0.44357779928505336
6,5.5,517.5438596491227,0.2,0.4106158720568738
7,6.5,587.719298245614,0.2,0.38987077958223265
8,7.5,657.8947368421052,0.2,0.37431302098737995
9,8.5,728.0701754385964,0.2,0.3613380438320927
10,9.5,798.2456140350876,0.2,0.35012123598205497
11,10.5,798.2456140350877,0.2,0.35012100090578
12,11.5,728.0701754385964,0.2,0.3613376002160522
13,12.5,657.8947368421053,0.2,0.3743122746116889
14,13.5,587.719298245614,0.2,0.38986971915588026
15,14.5,517.5438596491229,0.2,0.41061434132857566
16,15.5,447.36842105263156,0.2,0.4435754923854627
17,16.5,377.1929824561404,0.2,0.49919114981733675
18,17.5,307.0175438596491,0.2,0.57522313920697
19,18.5,236.84210526315795,0.2,0.6486345981120122
20,19.5,166.66666666666666,0.2,0.7079271936078823
