i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.3529272579903015,0.6470727420096984,90.9090909090909
2,1,1,15.0,5.0,0.5,0.2956948026772111,0.704305197322789,90.9090909090909
3,1,1,25.0,5.0,0.5,0.2403812534947161,0.7596187465052839,90.9090909090909
4,1,1,35.0,5.0,0.5,0.20797532262296423,0.7920246773770357,90.9090909090909
5,1,1,45.0,5.0,0.5,0.20054246312191154,0.7994575368780885,90.9090909090909
6,1,1,55.0,5.0,0.5,0.20003399455403564,0.7999660054459643,90.9090909090909
7,1,1,65.0,5.0,0.5,0.20002026556152694,0.799979734438473,90.9090909090909
8,1,1,75.0,5.0,0.5,0.2000200366216292,0.7999799633783709,90.9090909090909
9,1,1,85.0,5.0,0.5,0.20002027670050268,0.7999797232994973,90.9090909090909
10,1,1,95.0,5.0,0.5,0.2000205419181574,0.7999794580818426,90.9090909090909
11,1,1,105.0,5.0,0.5,0.20002081603152055,0.7999791839684794,90.9090909090909
12,1,1,115.0,5.0,0.5,0.20002109729240894,0.7999789027075911,90.9090909090909
13,1,1,125.0,5.0,0.5,0.20002138477864229,0.7999786152213577,90.9090909090909
14,1,1,135.0,5.0,0.5,0.20002167909697574,0.7999783209030242,90.9090909090909
15,1,1,145.0,5.0,0.5,0.20002198010621894,0.799978019893781,90.9090909090909
16,1,1,155.0,5.0,0.5,0.20002228698930039,0.7999777130106996,90.9090909090909
17,1,1,165.0,5.0,0.5,0.200022599729923,0.799977400270077,90.9090909090909
18,1,1,175.0,5.0,0.5,0.20002291864306646,0.7999770813569336,90.9090909090909
19,1,1,185.0,5.0,0.5,0.20002324340444963,0.7999767565955503,90.9090909090909
20,1,1,195.0,5.0,0.5,0.20002357350816186,0.7999764264918381,90.9090909090909
21,1,1,205.0,5.0,0.5,0.2000239089599651,0.7999760910400349,90.9090909090909
22,1,1,215.0,5.0,0.5,0.2000242499314573,0.7999757500685427,90.9090909090909
23,1,1,225.0,5.0,0.5,0.20002459621014917,0.7999754037898508,90.9090909090909
24,1,1,235.0,5.0,0.5,0.20002494741491636,0.7999750525850836,90.9090909090909
25,1,1,245.0,5.0,0.5,0.20002530345200914,0.7999746965479908,90.9090909090909
26,1,1,255.0,5.0,0.5,0.20002566443900205,0.799974335560998,90.9090909090909
27,1,1,265.0,5.0,0.5,0.20002603031430422,0.7999739696856958,90.9090909090909
28,1,1,275.0,5.0,0.5,0.20002640080329245,0.7999735991967075,90.9090909090909
29,1,1,285.0,5.0,0.5,0.2000267757242397,0.7999732242757602,90.9090909090909
30,1,1,295.0,5.0,0.5,0.20002715511818087,0.7999728448818191,90.9090909090909
31,1,1,305.0,5.0,0.5,0.20002753903532855,0.7999724609646715,90.9090909090909
32,1,1,315.0,5.0,0.5,0.2000279273538977,0.7999720726461023,90.9090909090909
33,1,1,325.0,5.0,0.5,0.20002831989219724,0.7999716801078027,90.9090909090909
34,1,1,335.0,5.0,0.5,0.20002871660748495,0.799971283392515,90.9090909090909
35,1,1,345.0,5.0,0.5,0.2000291175913892,0.7999708824086108,90.9090909090909
36,1,1,355.0,5.0,0.5,0.20002952289607265,0.7999704771039273,90.9090909090909
37,1,1,365.0,5.0,0.5,0.20002993247071485,0.7999700675292851,90.9090909090909
38,1,1,375.0,5.0,0.5,0.20003034627688263,0.7999696537231173,90.9090909090909
39,1,1,385.0,5.0,0.5,0.20003076439843726,0.7999692356015627,90.9090909090909
40,1,1,395.0,5.0,0.5,0.20003118697553032,0.7999688130244696,90.9090909090909
41,1,1,405.0,5.0,0.5,0.20003161403422534,0.7999683859657747,90.9090909090909
42,1,1,415.0,5.0,0.5,0.20003204536797248,0.7999679546320275,90.9090909090909
43,1,1,425.0,5.0,0.5,0.20003248042839777,0.7999675195716023,90.9090909090909
44,1,1,435.0,5.0,0.5,0.20003291799832032,0.7999670820016797,90.9090909090909
45,1,1,445.0,5.0,0.5,0.20003335538140365,0.7999666446185963,90.9090909090909
46,1,1,455.0,5.0,0.5,0.20003378690617107,0.799966213093829,90.9090909090909
47,1,1,465.0,5.0,0.5,0.2000342014704024,0.7999657985295976,90.9090909090909
48,1,1,475.0,5.0,0.5,0.20003457872826302,0.799965421271737,90.9090909090909
49,1,1,485.0,5.0,0.5,0.20003488419591786,0.7999651158040821,90.9090909090909
50,1,1,495.0,5.0,0.5,0.20003506720628822,0.7999649327937117,90.9090909090909
1,2,1,5.0,15.0,0.5,0.5379785865911888,0.4620214134088112,90.9090909090909
2,2,1,15.0,15.0,0.5,0.4933935207017311,0.506606479298269,90.9090909090909
3,2,1,25.0,15.0,0.5,0.4324680964569764,0.5675319035430235,90.9090909090909
4,2,1,35.0,15.0,0.5,0.3500264746902946,0.6499735253097054,90.9090909090909
5,2,1,45.0,15.0,0.5,0.2674585090633549,0.7325414909366451,90.9090909090909
6,2,1,55.0,15.0,0.5,0.2175033931983154,0.7824966068016845,90.9090909090909
7,2,1,65.0,15.0,0.5,0.20238162308496724,0.7976183769150328,90.9090909090909
8,2,1,75.0,15.0,0.5,0.20015791769489963,0.7998420823051003,90.9090909090909
9,2,1,85.0,15.0,0.5,0.20002690498379766,0.7999730950162023,90.9090909090909
10,2,1,95.0,15.0,0.5,0.20002101951355533,0.7999789804864447,90.9090909090909
11,2,1,105.0,15.0,0.5,0.20002084870042725,0.7999791512995728,90.9090909090909
12,2,1,115.0,15.0,0.5,0.20002109683734223,0.7999789031626577,90.9090909090909
13,2,1,125.0,15.0,0.5,0.2000213827315621,0.7999786172684379,90.9090909090909
14,2,1,135.0,15.0,0.5,0.20002167700912726,0.7999783229908728,90.9090909090909
15,2,1,145.0,15.0,0.5,0.20002197819345807,0.799978021806542,90.9090909090909
16,2,1,155.0,15.0,0.5,0.20002228530959873,0.7999777146904012,90.9090909090909
17,2,1,165.0,15.0,0.5,0.20002259817450974,0.7999774018254903,90.9090909090909
18,2,1,175.0,15.0,0.5,0.20002291716548112,0.7999770828345188,90.9090909090909
19,2,1,185.0,15.0,0.5,0.20002324204230354,0.7999767579576964,90.9090909090909
20,2,1,195.0,15.0,0.5,0.20002357228606904,0.799976427713931,90.9090909090909
21,2,1,205.0,15.0,0.5,0.200023907825947,0.799976092174053,90.9090909090909
22,2,1,215.0,15.0,0.5,0.20002424885242265,0.7999757511475774,90.9090909090909
23,2,1,225.0,15.0,0.5,0.20002459519543458,0.7999754048045654,90.9090909090909
24,2,1,235.0,15.0,0.5,0.2000249464878478,0.7999750535121521,90.9090909090909
25,2,1,245.0,15.0,0.5,0.2000253025968304,0.7999746974031696,90.9090909090909
26,2,1,255.0,15.0,0.5,0.20002566362756666,0.7999743363724333,90.9090909090909
27,2,1,265.0,15.0,0.5,0.20002602953429244,0.7999739704657076,90.9090909090909
28,2,1,275.0,15.0,0.5,0.20002640006424058,0.7999735999357594,90.9090909090909
29,2,1,285.0,15.0,0.5,0.20002677503184632,0.7999732249681537,90.9090909090909
30,2,1,295.0,15.0,0.5,0.2000271544560231,0.799972845543977,90.9090909090909
31,2,1,305.0,15.0,0.5,0.2000275383801453,0.7999724616198547,90.9090909090909
32,2,1,315.0,15.0,0.5,0.20002792669149205,0.799972073308508,90.9090909090909
33,2,1,325.0,15.0,0.5,0.20002831922286685,0.7999716807771331,90.9090909090909
34,2,1,335.0,15.0,0.5,0.20002871592274885,0.7999712840772512,90.9090909090909
35,2,1,345.0,15.0,0.5,0.20002911686588726,0.7999708831341128,90.9090909090909
36,2,1,355.0,15.0,0.5,0.2000295220969407,0.7999704779030593,90.9090909090909
37,2,1,365.0,15.0,0.5,0.2000299315759137,0.7999700684240862,90.9090909090909
38,2,1,375.0,15.0,0.5,0.20003034528169794,0.7999696547183021,90.9090909090909
39,2,1,385.0,15.0,0.5,0.20003076331196573,0.7999692366880342,90.9090909090909
40,2,1,395.0,15.0,0.5,0.20003118584250673,0.7999688141574932,90.9090909090909
41,2,1,405.0,15.0,0.5,0.20003161299796765,0.7999683870020323,90.9090909090909
42,2,1,415.0,15.0,0.5,0.2000320447897665,0.7999679552102335,90.9090909090909
43,2,1,425.0,15.0,0.5,0.2000324810858388,0.7999675189141612,90.9090909090909
44,2,1,435.0,15.0,0.5,0.20003292143640572,0.7999670785635943,90.9090909090909
45,2,1,445.0,15.0,0.5,0.20003336452995324,0.7999666354700468,90.9090909090909
46,2,1,455.0,15.0,0.5,0.20003380703643497,0.7999661929635651,90.9090909090909
47,2,1,465.0,15.0,0.5,0.20003424131649888,0.7999657586835012,90.9090909090909
48,2,1,475.0,15.0,0.5,0.20003465075408688,0.7999653492459131,90.9090909090909
49,2,1,485.0,15.0,0.5,0.20003500094143192,0.7999649990585681,90.9090909090909
50,2,1,495.0,15.0,0.5,0.20003522757287262,0.7999647724271274,90.9090909090909
1,3,1,5.0,25.0,0.5,0.6353061173005975,0.3646938826994025,90.9090909090909
2,3,1,15.0,25.0,0.5,0.5925058924322468,0.40749410756775317,90.9090909090909
3,3,1,25.0,25.0,0.5,0.5431894957265937,0.4568105042734063,90.9090909090909
4,3,1,35.0,25.0,0.5,0.4854416817198825,0.5145583182801174,90.9090909090909
5,3,1,45.0,25.0,0.5,0.41116627792618665,0.5888337220738133,90.9090909090909
6,3,1,55.0,25.0,0.5,0.31965952499683176,0.6803404750031683,90.9090909090909
7,3,1,65.0,25.0,0.5,0.24647280392391116,0.7535271960760889,90.9090909090909
8,3,1,75.0,25.0,0.5,0.21166780902992724,0.7883321909700728,90.9090909090909
9,3,1,85.0,25.0,0.5,0.20177279363500747,0.7982272063649926,90.9090909090909
10,3,1,95.0,25.0,0.5,0.2001495259263629,0.7998504740736371,90.9090909090909
11,3,1,105.0,25.0,0.5,0.20003062427070337,0.7999693757292966,90.9090909090909
12,3,1,115.0,25.0,0.5,0.20002193674514443,0.7999780632548555,90.9090909090909
13,3,1,125.0,25.0,0.5,0.20002146068475185,0.7999785393152481,90.9090909090909
14,3,1,135.0,25.0,0.5,0.20002168033414608,0.7999783196658539,90.9090909090909
15,3,1,145.0,25.0,0.5,0.20002197624675241,0.7999780237532476,90.9090909090909
16,3,1,155.0,25.0,0.5,0.20002228271445352,0.7999777172855465,90.9090909090909
17,3,1,165.0,25.0,0.5,0.20002259585607793,0.799977404143922,90.9090909090909
18,3,1,175.0,25.0,0.5,0.20002291517506424,0.7999770848249358,90.9090909090909
19,3,1,185.0,25.0,0.5,0.20002324006831815,0.7999767599316818,90.9090909090909
20,3,1,195.0,25.0,0.5,0.20002357033857404,0.799976429661426,90.9090909090909
21,3,1,205.0,25.0,0.5,0.20002390609296333,0.7999760939070366,90.9090909090909
22,3,1,215.0,25.0,0.5,0.20002424732301008,0.79997575267699,90.9090909090909
23,3,1,225.0,25.0,0.5,0.20002459370919345,0.7999754062908065,90.9090909090909
24,3,1,235.0,25.0,0.5,0.2000249450259664,0.7999750549740337,90.9090909090909
25,3,1,245.0,25.0,0.5,0.20002530125870052,0.7999746987412995,90.9090909090909
26,3,1,255.0,25.0,0.5,0.20002566242706543,0.7999743375729346,90.9090909090909
27,3,1,265.0,25.0,0.5,0.20002602838258607,0.7999739716174139,90.9090909090909
28,3,1,275.0,25.0,0.5,0.20002639891433538,0.7999736010856646,90.9090909090909
29,3,1,285.0,25.0,0.5,0.20002677392948234,0.7999732260705177,90.9090909090909
30,3,1,295.0,25.0,0.5,0.20002715342623612,0.7999728465737639,90.9090909090909
31,3,1,305.0,25.0,0.5,0.20002753737395493,0.799972462626045,90.9090909090909
32,3,1,315.0,25.0,0.5,0.20002792564427027,0.7999720743557297,90.9090909090909
33,3,1,325.0,25.0,0.5,0.2000283181246681,0.799971681875332,90.9090909090909
34,3,1,335.0,25.0,0.5,0.20002871478241574,0.7999712852175842,90.9090909090909
35,3,1,345.0,25.0,0.5,0.20002911564690795,0.799970884353092,90.9090909090909
36,3,1,355.0,25.0,0.5,0.20002952072389205,0.799970479276108,90.9090909090909
37,3,1,365.0,25.0,0.5,0.20002992998722968,0.7999700700127703,90.9090909090909
38,3,1,375.0,25.0,0.5,0.20003034345608503,0.7999696565439149,90.9090909090909
39,3,1,385.0,25.0,0.5,0.20003076124865643,0.7999692387513435,90.9090909090909
40,3,1,395.0,25.0,0.5,0.2000311835784273,0.7999688164215727,90.9090909090909
41,3,1,405.0,25.0,0.5,0.20003161071252276,0.7999683892874773,90.9090909090909
42,3,1,415.0,25.0,0.5,0.20003204300514107,0.7999679569948589,90.9090909090909
