layer,depth_m,permeability_md,porosity,avg_So
1,0.5,90.9090909090909,0.2,0.7592683922477015
2,1.5,133.9712918660287,0.2,0.7339724058279385
3,2.5,177.03349282296648,0.2,0.7027655023025642
4,3.5,220.09569377990428,0.2,0.6679853956792853
5,4.5,263.1578947368421,0.2,0.6300643405564004
6,5.5,306.22009569377985,0.2,0.5894296718334485
7,6.5,349.2822966507176,0.2,0.5465745178889144
8,7.5,392.3444976076555,0.2,0.502841330114749
9,8.5,435.4066985645933,0.2,0.4653508299854278
10,9.5,478.46889952153106,0.2,0.43815277371940786
11,10.5,521.5311004784688,0.2,0.41845330275870496
12,11.5,564.5933014354067,0.2,0.4039849627959402
13,12.5,607.6555023923444,0.2,0.39283851640753614
14,13.5,650.7177033492823,0.2,0.3834679779730653
15,14.5,693.77990430622,0.2,0.3751516217734473
16,15.5,736.8421052631578,0.2,0.3675970646763339
17,16.5,779.9043062200956,0.2,0.36065329397662915
18,17.5,822.9665071770335,0.2,0.3542215962702508
19,18.5,866.0287081339711,0.2,0.3482273666688851
20,19.5,909.090909090909,0.2,0.3426098737561933
