i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.6551184639021466,0.34488153609785344,333.3333333333333
2,1,1,15.0,5.0,0.5,0.6448439722531841,0.35515602774681587,333.3333333333333
3,1,1,25.0,5.0,0.5,0.6329608592268992,0.36703914077310085,333.3333333333333
4,1,1,35.0,5.0,0.5,0.6206104251317442,0.37938957486825575,333.3333333333333
5,1,1,45.0,5.0,0.5,0.6083666376443614,0.3916333623556386,333.3333333333333
6,1,1,55.0,5.0,0.5,0.5964795033032004,0.40352049669679957,333.3333333333333
7,1,1,65.0,5.0,0.5,0.5850344497472095,0.41496555025279047,333.3333333333333
8,1,1,75.0,5.0,0.5,0.5740253057354577,0.42597469426454226,333.3333333333333
9,1,1,85.0,5.0,0.5,0.5634011825165597,0.4365988174834403,333.3333333333333
10,1,1,95.0,5.0,0.5,0.5530893114000172,0.44691068859998284,333.3333333333333
11,1,1,105.0,5.0,0.5,0.5430019891287857,0.4569980108712143,333.3333333333333
12,1,1,115.0,5.0,0.5,0.5330412623192535,0.46695873768074647,333.3333333333333
13,1,1,125.0,5.0,0.5,0.5231053778576916,0.4768946221423084,333.3333333333333
14,1,1,135.0,5.0,0.5,0.5130650961792048,0.4869349038207952,333.3333333333333
15,1,1,145.0,5.0,0.5,0.5027403428847017,0.4972596571152983,333.3333333333333
16,1,1,155.0,5.0,0.5,0.49188353828963166,0.5081164617103684,333.3333333333333
17,1,1,165.0,5.0,0.5,0.4801355029177297,0.5198644970822703,333.3333333333333
18,1,1,175.0,5.0,0.5,0.4669513244216002,0.5330486755783999,333.3333333333333
19,1,1,185.0,5.0,0.5,0.4514783970275749,0.5485216029724251,333.3333333333333
20,1,1,195.0,5.0,0.5,0.43236934234010993,0.5676306576598901,333.3333333333333
21,1,1,205.0,5.0,0.5,0.40760630154855965,0.5923936984514404,333.3333333333333
22,1,1,215.0,5.0,0.5,0.3749334203480567,0.6250665796519432,333.3333333333333
23,1,1,225.0,5.0,0.5,0.33421005349700195,0.665789946502998,333.3333333333333
24,1,1,235.0,5.0,0.5,0.28958709814950695,0.710412901850493,333.3333333333333
25,1,1,245.0,5.0,0.5,0.24897065804488613,0.7510293419551138,333.3333333333333
26,1,1,255.0,5.0,0.5,0.2213389643315234,0.7786610356684767,333.3333333333333
27,1,1,265.0,5.0,0.5,0.20788390103728757,0.7921160989627124,333.3333333333333
28,1,1,275.0,5.0,0.5,0.20272462867485136,0.7972753713251486,333.3333333333333
29,1,1,285.0,5.0,0.5,0.20073654536370858,0.7992634546362914,333.3333333333333
30,1,1,295.0,5.0,0.5,0.2001236884401119,0.7998763115598881,333.3333333333333
31,1,1,305.0,5.0,0.5,0.2000364192857641,0.7999635807142359,333.3333333333333
32,1,1,315.0,5.0,0.5,0.20002844807209536,0.7999715519279047,333.3333333333333
33,1,1,325.0,5.0,0.5,0.2000281228993499,0.7999718771006501,333.3333333333333
34,1,1,335.0,5.0,0.5,0.20002845796826568,0.7999715420317344,333.3333333333333
35,1,1,345.0,5.0,0.5,0.200028853565349,0.7999711464346511,333.3333333333333
36,1,1,355.0,5.0,0.5,0.20002925493185314,0.7999707450681468,333.3333333333333
37,1,1,365.0,5.0,0.5,0.20002966133173883,0.7999703386682612,333.3333333333333
38,1,1,375.0,5.0,0.5,0.20003007244327228,0.7999699275567277,333.3333333333333
39,1,1,385.0,5.0,0.5,0.2000304876965919,0.7999695123034081,333.3333333333333
40,1,1,395.0,5.0,0.5,0.20003090780277988,0.7999690921972201,333.3333333333333
41,1,1,405.0,5.0,0.5,0.20003133276096735,0.7999686672390327,333.3333333333333
42,1,1,415.0,5.0,0.5,0.2000317620373643,0.7999682379626357,333.3333333333333
43,1,1,425.0,5.0,0.5,0.2000321957528831,0.7999678042471169,333.3333333333333
44,1,1,435.0,5.0,0.5,0.20003263325069925,0.7999673667493008,333.3333333333333
45,1,1,445.0,5.0,0.5,0.20003307264194498,0.799966927358055,333.3333333333333
46,1,1,455.0,5.0,0.5,0.20003351101962705,0.7999664889803729,333.3333333333333
47,1,1,465.0,5.0,0.5,0.20003394166575064,0.7999660583342494,333.3333333333333
48,1,1,475.0,5.0,0.5,0.20003435027081246,0.7999656497291876,333.3333333333333
49,1,1,485.0,5.0,0.5,0.2000347073318442,0.7999652926681557,333.3333333333333
50,1,1,495.0,5.0,0.5,0.20003495404805574,0.7999650459519443,333.3333333333333
1,2,1,5.0,15.0,0.5,0.7156440209398646,0.28435597906013543,333.3333333333333
2,2,1,15.0,15.0,0.5,0.7027949011146422,0.29720509888535784,333.3333333333333
3,2,1,25.0,15.0,0.5,0.6883695094897384,0.3116304905102616,333.3333333333333
4,2,1,35.0,15.0,0.5,0.673784727622109,0.32621527237789105,333.3333333333333
5,2,1,45.0,15.0,0.5,0.6597175409995742,0.34028245900042575,333.3333333333333
6,2,1,55.0,15.0,0.5,0.6464288447322014,0.3535711552677986,333.3333333333333
7,2,1,65.0,15.0,0.5,0.6339686960687477,0.36603130393125227,333.3333333333333
8,2,1,75.0,15.0,0.5,0.622288919574601,0.377711080425399,333.3333333333333
9,2,1,85.0,15.0,0.5,0.6113090728598727,0.3886909271401273,333.3333333333333
10,2,1,95.0,15.0,0.5,0.6009367706244202,0.3990632293755798,333.3333333333333
11,2,1,105.0,15.0,0.5,0.5910815295352051,0.4089184704647949,333.3333333333333
12,2,1,115.0,15.0,0.5,0.5816559999683201,0.41834400003167993,333.3333333333333
13,2,1,125.0,15.0,0.5,0.5725658393438967,0.4274341606561033,333.3333333333333
14,2,1,135.0,15.0,0.5,0.5637267332280322,0.43627326677196776,333.3333333333333
15,2,1,145.0,15.0,0.5,0.5550692084976426,0.44493079150235737,333.3333333333333
16,2,1,155.0,15.0,0.5,0.5465269115569882,0.4534730884430118,333.3333333333333
17,2,1,165.0,15.0,0.5,0.5380328980336182,0.4619671019663818,333.3333333333333
18,2,1,175.0,15.0,0.5,0.5295227950552719,0.4704772049447281,333.3333333333333
19,2,1,185.0,15.0,0.5,0.5209340612717505,0.47906593872824954,333.3333333333333
20,2,1,195.0,15.0,0.5,0.5121994583475693,0.4878005416524307,333.3333333333333
21,2,1,205.0,15.0,0.5,0.5031993793941463,0.4968006206058537,333.3333333333333
22,2,1,215.0,15.0,0.5,0.4935522329284872,0.5064477670715128,333.3333333333333
23,2,1,225.0,15.0,0.5,0.4826485410991395,0.5173514589008605,333.3333333333333
24,2,1,235.0,15.0,0.5,0.46982935414980853,0.5301706458501915,333.3333333333333
25,2,1,245.0,15.0,0.5,0.4540139277846136,0.5459860722153864,333.3333333333333
26,2,1,255.0,15.0,0.5,0.43349303945384376,0.5665069605461562,333.3333333333333
27,2,1,265.0,15.0,0.5,0.4056540251288714,0.5943459748711286,333.3333333333333
28,2,1,275.0,15.0,0.5,0.3673722286096072,0.6326277713903927,333.3333333333333
29,2,1,285.0,15.0,0.5,0.3190461349035645,0.6809538650964355,333.3333333333333
30,2,1,295.0,15.0,0.5,0.2674825814658222,0.7325174185341778,333.3333333333333
31,2,1,305.0,15.0,0.5,0.22722168532768952,0.7727783146723105,333.3333333333333
32,2,1,315.0,15.0,0.5,0.20707983919670334,0.7929201608032966,333.3333333333333
33,2,1,325.0,15.0,0.5,0.20095616182675405,0.799043838173246,333.3333333333333
34,2,1,335.0,15.0,0.5,0.20006139315676977,0.7999386068432303,333.3333333333333
35,2,1,345.0,15.0,0.5,0.20003065245780763,0.7999693475421924,333.3333333333333
36,2,1,355.0,15.0,0.5,0.20002948295472966,0.7999705170452703,333.3333333333333
37,2,1,365.0,15.0,0.5,0.2000296687352762,0.7999703312647238,333.3333333333333
38,2,1,375.0,15.0,0.5,0.20003007154015584,0.7999699284598442,333.3333333333333
39,2,1,385.0,15.0,0.5,0.20003048599304327,0.7999695140069567,333.3333333333333
40,2,1,395.0,15.0,0.5,0.20003090611931287,0.7999690938806872,333.3333333333333
41,2,1,405.0,15.0,0.5,0.2000313312616855,0.7999686687383145,333.3333333333333
42,2,1,415.0,15.0,0.5,0.20003176055966898,0.799968239440331,333.3333333333333
43,2,1,425.0,15.0,0.5,0.2000321948815793,0.7999678051184207,333.3333333333333
44,2,1,435.0,15.0,0.5,0.2000326338712935,0.7999673661287066,333.3333333333333
45,2,1,445.0,15.0,0.5,0.20003307620236216,0.7999669237976379,333.3333333333333
