i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.563579835575286,0.436420164424714,166.66666666666666
2,1,1,15.0,5.0,0.5,0.5449900507438104,0.45500994925618965,166.66666666666666
3,1,1,25.0,5.0,0.5,0.5224955840148726,0.4775044159851274,166.66666666666666
4,1,1,35.0,5.0,0.5,0.49692734424804214,0.5030726557519578,166.66666666666666
5,1,1,45.0,5.0,0.5,0.4675267559202705,0.5324732440797295,166.66666666666666
6,1,1,55.0,5.0,0.5,0.4317306490002969,0.5682693509997031,166.66666666666666
7,1,1,65.0,5.0,0.5,0.3850594499646278,0.6149405500353722,166.66666666666666
8,1,1,75.0,5.0,0.5,0.3261967462689099,0.6738032537310901,166.66666666666666
9,1,1,85.0,5.0,0.5,0.26720388419209623,0.7327961158079037,166.66666666666666
10,1,1,95.0,5.0,0.5,0.2241812048916967,0.7758187951083033,166.66666666666666
11,1,1,105.0,5.0,0.5,0.20515430883815663,0.7948456911618433,166.66666666666666
12,1,1,115.0,5.0,0.5,0.20061158329725576,0.7993884167027443,166.66666666666666
13,1,1,125.0,5.0,0.5,0.20007222906889524,0.7999277709311048,166.66666666666666
14,1,1,135.0,5.0,0.5,0.20002807491667854,0.7999719250833215,166.66666666666666
15,1,1,145.0,5.0,0.5,0.20002373262710274,0.7999762673728973,166.66666666666666
16,1,1,155.0,5.0,0.5,0.20002354127785868,0.7999764587221413,166.66666666666666
17,1,1,165.0,5.0,0.5,0.20002378671331916,0.7999762132866808,166.66666666666666
18,1,1,175.0,5.0,0.5,0.20002407833279853,0.7999759216672014,166.66666666666666
19,1,1,185.0,5.0,0.5,0.20002437874540652,0.7999756212545934,166.66666666666666
20,1,1,195.0,5.0,0.5,0.20002468557658237,0.7999753144234176,166.66666666666666
21,1,1,205.0,5.0,0.5,0.20002499767195633,0.7999750023280436,166.66666666666666
22,1,1,215.0,5.0,0.5,0.20002531410186833,0.7999746858981317,166.66666666666666
23,1,1,225.0,5.0,0.5,0.2000256350510469,0.7999743649489531,166.66666666666666
24,1,1,235.0,5.0,0.5,0.20002596105607617,0.7999740389439238,166.66666666666666
25,1,1,245.0,5.0,0.5,0.20002629196828683,0.7999737080317132,166.66666666666666
26,1,1,255.0,5.0,0.5,0.2000266271600088,0.7999733728399911,166.66666666666666
27,1,1,265.0,5.0,0.5,0.20002696638664613,0.7999730336133539,166.66666666666666
28,1,1,275.0,5.0,0.5,0.20002730995345652,0.7999726900465435,166.66666666666666
29,1,1,285.0,5.0,0.5,0.20002765806279318,0.7999723419372068,166.66666666666666
30,1,1,295.0,5.0,0.5,0.20002801045384436,0.7999719895461557,166.66666666666666
31,1,1,305.0,5.0,0.5,0.20002836673208826,0.7999716332679118,166.66666666666666
32,1,1,315.0,5.0,0.5,0.20002872683283193,0.7999712731671681,166.66666666666666
33,1,1,325.0,5.0,0.5,0.20002909098969535,0.7999709090103047,166.66666666666666
34,1,1,335.0,5.0,0.5,0.20002945932448188,0.7999705406755181,166.66666666666666
35,1,1,345.0,5.0,0.5,0.20002983167080418,0.7999701683291958,166.66666666666666
36,1,1,355.0,5.0,0.5,0.20003020780130082,0.7999697921986992,166.66666666666666
37,1,1,365.0,5.0,0.5,0.20003058771843127,0.7999694122815687,166.66666666666666
38,1,1,375.0,5.0,0.5,0.20003097164494216,0.7999690283550578,166.66666666666666
39,1,1,385.0,5.0,0.5,0.20003135975695827,0.7999686402430417,166.66666666666666
40,1,1,395.0,5.0,0.5,0.2000317520265922,0.7999682479734078,166.66666666666666
41,1,1,405.0,5.0,0.5,0.20003214830079313,0.7999678516992068,166.66666666666666
42,1,1,415.0,5.0,0.5,0.20003254842435078,0.7999674515756492,166.66666666666666
43,1,1,425.0,5.0,0.5,0.20003295213555136,0.7999670478644486,166.66666666666666
44,1,1,435.0,5.0,0.5,0.20003335861729268,0.7999666413827073,166.66666666666666
