i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.6942407850711181,0.3057592149288819,666.6666666666666
2,1,1,15.0,5.0,0.5,0.686950969950327,0.313049030049673,666.6666666666666
3,1,1,25.0,5.0,0.5,0.6785376748552084,0.32146232514479156,666.6666666666666
4,1,1,35.0,5.0,0.5,0.6698513878530591,0.3301486121469409,666.6666666666666
5,1,1,45.0,5.0,0.5,0.6613315529514073,0.33866844704859267,666.6666666666666
6,1,1,55.0,5.0,0.5,0.6531760120580092,0.34682398794199076,666.6666666666666
7,1,1,65.0,5.0,0.5,0.6454531752475751,0.35454682475242494,666.6666666666666
8,1,1,75.0,5.0,0.5,0.6381772443966948,0.36182275560330524,666.6666666666666
9,1,1,85.0,5.0,0.5,0.6313184467029908,0.36868155329700925,666.6666666666666
10,1,1,95.0,5.0,0.5,0.6248491547140597,0.37515084528594034,666.6666666666666
11,1,1,105.0,5.0,0.5,0.6187297748618484,0.38127022513815156,666.6666666666666
12,1,1,115.0,5.0,0.5,0.6129234556770027,0.3870765443229973,666.6666666666666
13,1,1,125.0,5.0,0.5,0.6074004898592135,0.39259951014078653,666.6666666666666
14,1,1,135.0,5.0,0.5,0.6021318292086039,0.39786817079139614,666.6666666666666
15,1,1,145.0,5.0,0.5,0.5970923193970431,0.4029076806029569,666.6666666666666
16,1,1,155.0,5.0,0.5,0.5922595742137087,0.4077404257862913,666.6666666666666
17,1,1,165.0,5.0,0.5,0.5876140127669481,0.41238598723305186,666.6666666666666
18,1,1,175.0,5.0,0.5,0.583138086187593,0.416861913812407,666.6666666666666
19,1,1,185.0,5.0,0.5,0.5788161729634329,0.4211838270365671,666.6666666666666
20,1,1,195.0,5.0,0.5,0.5746341186640466,0.42536588133595343,666.6666666666666
21,1,1,205.0,5.0,0.5,0.5705797184072348,0.42942028159276524,666.6666666666666
22,1,1,215.0,5.0,0.5,0.5666410780929407,0.43335892190705927,666.6666666666666
23,1,1,225.0,5.0,0.5,0.5628059622708544,0.43719403772914556,666.6666666666666
24,1,1,235.0,5.0,0.5,0.5590628514530323,0.44093714854696775,666.6666666666666
25,1,1,245.0,5.0,0.5,0.5554012308939631,0.4445987691060369,666.6666666666666
26,1,1,255.0,5.0,0.5,0.5518106292643984,0.4481893707356016,666.6666666666666
27,1,1,265.0,5.0,0.5,0.5482788518442164,0.45172114815578357,666.6666666666666
28,1,1,275.0,5.0,0.5,0.544797947083387,0.455202052916613,666.6666666666666
29,1,1,285.0,5.0,0.5,0.5413623010682707,0.45863769893172934,666.6666666666666
30,1,1,295.0,5.0,0.5,0.5379634301364266,0.46203656986357344,666.6666666666666
31,1,1,305.0,5.0,0.5,0.5345927567820643,0.4654072432179357,666.6666666666666
32,1,1,315.0,5.0,0.5,0.5312429250426619,0.4687570749573381,666.6666666666666
33,1,1,325.0,5.0,0.5,0.527903713994113,0.47209628600588704,666.6666666666666
34,1,1,335.0,5.0,0.5,0.5245627165295581,0.4754372834704419,666.6666666666666
35,1,1,345.0,5.0,0.5,0.5212064216089941,0.4787935783910059,666.6666666666666
36,1,1,355.0,5.0,0.5,0.5178165860910181,0.4821834139089819,666.6666666666666
37,1,1,365.0,5.0,0.5,0.5143688272437651,0.4856311727562349,666.6666666666666
38,1,1,375.0,5.0,0.5,0.5108315630556035,0.4891684369443965,666.6666666666666
