layer,depth_m,permeability_md,porosity,avg_So
1,0.5,666.6666666666666,0.2,0.3730683947695276
2,1.5,649.1228070175438,0.2,0.37682153076464914
3,2.5,631.578947368421,0.2,0.3806989307622645
4,3.5,614.0350877192982,0.2,0.38472958449749245
5,4.5,596.4912280701755,0.2,0.3889507415554329
6,5.5,578.9473684210526,0.2,0.39341687992469276
7,6.5,561.4035087719298,0.2,0.3982123954926454
8,7.5,543.859649122807,0.2,0.40347097704657414
9,8.5,526.3157894736842,0.2,0.4093719640235294
10,9.5,508.7719298245614,0.2,0.41614182893235774
11,10.5,491.2280701754386,0.2,0.4240379309413446
12,11.5,473.6842105263157,0.2,0.43327709731450365
13,12.5,456.140350877193,0.2,0.4442146836077452
14,13.5,438.59649122807014,0.2,0.4573699117504213
15,14.5,421.0526315789474,0.2,0.47324650038024474
16,15.5,403.50877192982455,0.2,0.4922755587293723
17,16.5,385.96491228070175,0.2,0.5134871488163152
18,17.5,368.4210526315789,0.2,0.5355005165674768
19,18.5,350.87719298245617,0.2,0.5587374955240767
20,19.5,333.3333333333333,0.2,0.584105834672194
