i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.7266300826314279,0.2733699173685721,833.3333333333333
2,1,1,15.0,5.0,0.5,0.7212544798254117,0.2787455201745883,833.3333333333333
3,1,1,25.0,5.0,0.5,0.7149521172553902,0.2850478827446098,833.3333333333333
4,1,1,35.0,5.0,0.5,0.7083605575443169,0.2916394424556831,833.3333333333333
5,1,1,45.0,5.0,0.5,0.7018191968495441,0.2981808031504559,833.3333333333333
6,1,1,55.0,5.0,0.5,0.6955027234762705,0.3044972765237295,833.3333333333333
7,1,1,65.0,5.0,0.5,0.6894788055410411,0.31052119445895887,833.3333333333333
8,1,1,75.0,5.0,0.5,0.6837590971040112,0.31624090289598883,833.3333333333333
9,1,1,85.0,5.0,0.5,0.678338838400599,0.32166116159940095,833.3333333333333
10,1,1,95.0,5.0,0.5,0.6731987959558895,0.3268012040441105,833.3333333333333
11,1,1,105.0,5.0,0.5,0.6683145546676821,0.3316854453323179,833.3333333333333
12,1,1,115.0,5.0,0.5,0.6636614835364588,0.3363385164635412,833.3333333333333
13,1,1,125.0,5.0,0.5,0.6592167242981215,0.3407832757018785,833.3333333333333
14,1,1,135.0,5.0,0.5,0.6549597150758552,0.34504028492414485,833.3333333333333
15,1,1,145.0,5.0,0.5,0.6508748877517752,0.34912511224822484,833.3333333333333
16,1,1,155.0,5.0,0.5,0.6469456079866814,0.35305439201331856,833.3333333333333
17,1,1,165.0,5.0,0.5,0.6431564992531085,0.35684350074689153,833.3333333333333
18,1,1,175.0,5.0,0.5,0.6394952472409027,0.3605047527590973,833.3333333333333
19,1,1,185.0,5.0,0.5,0.6359537325770418,0.3640462674229582,833.3333333333333
20,1,1,195.0,5.0,0.5,0.6325250608180607,0.3674749391819393,833.3333333333333
21,1,1,205.0,5.0,0.5,0.6291947462882861,0.3708052537117139,833.3333333333333
22,1,1,215.0,5.0,0.5,0.6259582110410443,0.3740417889589557,833.3333333333333
23,1,1,225.0,5.0,0.5,0.6228137490944029,0.3771862509055971,833.3333333333333
24,1,1,235.0,5.0,0.5,0.6197465081998785,0.38025349180012147,833.3333333333333
25,1,1,245.0,5.0,0.5,0.6167586107391679,0.38324138926083207,833.3333333333333
26,1,1,255.0,5.0,0.5,0.613842037933784,0.386157962066216,833.3333333333333
27,1,1,265.0,5.0,0.5,0.6109897607312874,0.3890102392687126,833.3333333333333
28,1,1,275.0,5.0,0.5,0.6082052927239617,0.39179470727603827,833.3333333333333
29,1,1,285.0,5.0,0.5,0.6054740036327764,0.39452599636722363,833.3333333333333
30,1,1,295.0,5.0,0.5,0.6028029063480544,0.39719709365194555,833.3333333333333
31,1,1,305.0,5.0,0.5,0.6001769406942177,0.3998230593057823,833.3333333333333
